sentence,property,topic,vehicle,event,option0,option1,option2,option3,ans_idx
"I am disposed to be as _ as a queen , and you try to stir me up to restlessness !",content,I,queen,be,legal,sparse,fine,content,3
"numerous icebergs , some of which are as _ as cathedrals , and occasionally loaded with "" no inconsiderable blocks of rock , "" would be stranded on the outlying islets ;",tall,icebergs,cathedrals,are,tall,expensive,short,ugly,0
"BOULT The nobleman would have dealt with her like a nobleman , and she sent him away as _ as a snowball ;",cold,she,snowball,sent,bright,cold,ugly,hot,1
"The understanding is as _ as life itself , that when women become part of a close group of men , authenticity drops to near zero .",old,understanding,life,is,common,new,old,young,2
Ahead was a stepped altar which is as _ as a cottage and dotted with blue lights .,large,altar,cottage,is,small,black,large,high,2
) This aspect is as _ as diamonds .,rare,aspect,diamonds,is,green,rare,black,translucent,1
Usually this means the off peak rate is n't quite as _ as economy 7 and there is usually a higher standing charge .,good,rate,economy,is,good,important,bad,average,0
"Recognizing a soulmate can be as _ as a moment in the sunshine , or a meeting of eyes over a cup of coffee .",sudden,Recognizing,moment,be,later,gradual,sudden,precious,2
Intent is as _ as air to those who breath no need to speak of it or even be too conscious of it : in the realm of nature and the things that are as they are but never to be taken for granted .,obvious,Intent,air,is,obvious,clear,invisible,open,0
"As long as you can drive away from their shop without toppling over or crashing into something or someone , you 're as _ as a bird .",free,you,bird,'re,like,free,early,fly,1
The Fraud Triangle Fraud is as _ as a virus and can be just as menacing .,common,Fraud,virus,is,common,popular,personal,rare,0
 And he was as _ as a whip .	,smart,he,whip,was,sharp,smart,gay,stupid,1
"He left me soothed , yet full of solicitude , breathing a wish , as _ as a prayer , that if I were wrong , Heaven would lead me right .",strong,me,prayer,left,hungry,quick,weak,strong,3
"I looked out over the beautiful expanse , bathed in soft yellow moonlight till it was almost as _ as day .",light,expanse,day,was,green,silent,light,red,2
"Many eclipses are jarring , but not this one this one is as _ as a cupcake with vanilla icing , so it may be that your friend will do something for you that you find touching .",sweet,one,cupcake,is,bitter,delicious,dry,sweet,3
And he s gone to bed as _ as a baby .,pleased,he,baby,s,cunning,pleased,innocent,messy,1
We 've been with ClickTime since 2011 and we 're still as _ as day one .,pleased,we,day,'re,bright,pleased,nice,present,1
I feel about as _ as a fish for shitting in the sea .,guilty,I,fish,feel,sorry,guilty,bad,innocent,1
"How many of you guys would say no to dating a girl who is as _ as a cow , always silent ( apart from occassional sexy moos ) , and can make Pamela Anderson feel sorry with her udders ?",healthy,girl,cow,is,holy,silly,cunning,healthy,3
it is as _ as thet .,empty,it,thet,is,empty,blue,fill,full,0
"No , the room was not cold at all , but my heartoh , dismaymy heart was as _ as ice .",cold,heart,ice,was,hot,cool,warm,cold,3
"Irregular Choice is as _ as a child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children 's ' collection for years and he has worked hard to make their dreams come true , developing this capsule kid In preparation for us launching our SWAN HEELS at midday tomorrow we are giving lucky fans the chance to WIN their very own Swan Planters filled with Irregular Choice flowers !",excited,Choice,child,is,excited,curious,small,fun,0
"Irregular Choice is as _ as a child in a sweetie shop to announce our first Irregular Choice Kids collection will be launching this Friday at 12 pm ( UK Time ) Our fans have been asking owner and Designer Dan Sullivan to create a children 's ' collection for years and he has worked hard to make their dreams come true , developing this capsule kid Be carried along on a platform wave into the realm of mythical creatures where you will be mesmerised by our Irregular mermaid .",excited,Choice,child,is,playful,fun,curious,excited,3
As I got closer to finally see what was in store for me Dan said my eyes were as _ as saucers and my jaw dropped .,big,eyes,saucers,were,big,open,empty,little,0
"A car can become as _ as an oven very quickly , even when it does n't feel that warm .",hot,car,oven,become,expensive,red,hot,cold,2
Oil boilers are just as _ as gas and in some cases even more so .,efficient,boilers,gas,are,liquid,natural,efficient,hot,2
"I am as _ as a feather , I am as happy as an angel , I am as merry as a school - boy .",light,I,feather,am,nice,light,sad,green,1
"Why , she was as _ as a squirrel ;",fresh,she,squirrel,was,fresh,ripe,rotten,stale,0
They seem as _ as photographs of nineteenth - century Paris .,ancient,They,photographs,seem,modern,ancient,inaccurate,expensive,1
"Travel journals were as _ as theatergoing , and stories from the new world abounded .",popular,journals,theatergoing,were,popular,chief,unpopular,expensive,0
The Right Width Tie width is as _ as fashion itself .,periodic,width,fashion,is,fun,important,periodic,extravagant,2
"Best of all , Stott 's text is as _ as Harlequin 's moves , his eye for humour and the need to clarify details for those unschooled in that period always as deft and sure .",light,text,moves,is,good,light,extravagant,fun,1
"car can be as _ as home itself : the safety belts , the side protection wings to delicately support the baby ?",comfortable,car,home,be,comfortable,new,heavy,uncomfortable,0
Olenna matriarch of House Tyrell is as _ as a cockroach .,adaptive,matriarch,cockroach,is,female,unpleasant,dangerous,adaptive,3
"The irony of my plastic works is that I take a material that was created to be touched , and I make it as _ as an artwork .",inaccessible,it,artwork,make,important,inaccessible,fun,sure,1
Their case turned out to be as _ as smoke .,solid,case,smoke,be,heavy,liquid,solid,hollow,2
Few things can be as _ as a breakdown in that chain of mechanics and electronics .,frustrating,things,breakdown,be,frustrating,ambiguous,fun,trying,0
"here 's a solution - buy a PC , but wait until later this year when they release Vista which will look as _ as a Mac , along with all the more functional improvements .",pretty,Vista,Mac,look,compatible,bad,funny,pretty,3
"It is about as _ as a jackhammer , although even so the message did n't seem to sink in .",subtle,It,jackhammer,is,subtle,hard,heavy,simple,0
"The - messengers - oflove - should be as _ as thoughts , - traveling - ten times faster than sunbeams , pushing all doubts and fears away , as light does to threatening shadows .",light,oflove,thoughts,be,hard,simple,light,heavy,2
"Then your light will shine out from the darkness , and the darkness around you shall be as _ as day .",bright,darkness,day,be,bright,dark,dull,black,0
On 21.12 the Progress - M37 was still as _ as a fiddle which could be derived from the strong signals during the pass in the 20th orbit with a TCA at 132432 UTC .,fit,M37,fiddle,was,back,first,fit,scary,2
The water now was as _ as a sheet of glass and reflected in it was a magnificent magenta sunset - it was a perfect ending .,calm,water,glass,was,clean,calm,fragile,sharp,1
"By now , your thornapple must be as _ as blood and as fragrant as roses .",red,thornapple,roses,be,yellow,green,red,black,2
"Director Matt Spicer 's Sundance breakout is a tale as _ as time , modeled almost to a T on The Talented Mr. Ripley ( without the murder ) .",old,tale,time,is,old,young,long,new,0
"These are basic ingredients , perhaps "" but the truth about them is as _ as humanity itself .",diverse,truth,humanity,is,diverse,selfish,stupid,common,0
GED Reasoning Through Language Arts : Literary Elements Have you ever been as _ as a bull when you 're trying to study and nothing seems to work ?,angry,you,bull,been,large,dangerous,strong,angry,3
"Gage might look and act like a bronco in his den , hates to go back but set him free in a pen and he will be as _ as a lamb and as sweet as a dove .",calm,he,lamb,be,gentle,happy,calm,drunk,2
"Great herds of tame cattle grazed the pastures , the water in the streams was as _ as crystal and as fragrant as clover , while the hillsides shone with veins of white , black , and red marble and with deposits of every kind of precious metal .",clear,water,crystal,was,fresh,clear,deep,pure,1
You will be amazed to see your grapes will be as _ as sugar .,sweet,grapes,sugar,be,bitter,green,sweet,sour,2
He 's as _ as gall at your desertion and its consequences : do n't expect thanks for this noble devotion .,bitter,He,gall,'s,black,sweet,sharp,bitter,3
The bulls - eye is near as _ as a chipmunk and do n't move .,big,eye,chipmunk,is,small,big,good,little,1
""" But despite all the backstage drama , the show still churned out sketches that made us laugh hard and others that were as _ as grandma 's Christmas fruitcake .",sweet,others,fruitcake,were,bad,good,sincere,sweet,3
"Look at me , I 'm as _ as an ox .",healthy,I,ox,'m,healthy,dead,wild,sick,0
"Even if you had a Patriot battery deployed on your lawn , you would be as _ as a kitten with polio .",helpless,you,kitten,be,skinny,weak,helpless,cunning,2
"better than a good many , for I am as _ as a lion , and all men a n't ;",strong,I,lion,am,weak,strong,hungry,white,1
"and , for the space of half a year , the gunpowder lay as _ as sand , because no fire came near to explode it .",harmless,gunpowder,sand,lay,comfortable,illegal,harmless,harmful,2
One thing stood out after that day of feeding countless rounds through those UZIs - they were as _ as a brick .,reliable,they,brick,were,hard,reliable,solid,unreliable,1
