he was as _ as the other , and as resolute .	he	ambitious	resolute
He 's as _ as Grant .	He	silent	Grant
It was as light as day and Tim set the heavy ship down as _ as a feather .	It	light	feather
Fothergill had been as _ as her word .	Fothergill	good	word
and at that Quentin , smiling a little fiercely , remarked that she was as _ as a cowslip and as impassive as a young Madonna .	she	pale	Madonna
He is kind , but he is as _ as steel , .	he	hard	steel
May your Highness raise the glory of Castile as _ as my desire , and you will win the world .	Highness	high	desire
In my hands you are as _ as in the palace of Narbonne .	you	safe	palace
Had it been Don Pedro , he would have broken the sanctuary as _ as fate .	he	sure	fate
it will satisfy me better than the choicest meal ever served to mortal , though I confess I am as _ as a wolf .	I	hungry	wolf
I care not for the petty plots of traitors whom I will soon hang up as _ as Haman .	I	high	Haman
It is not as _ as measles .	It	contagious	measles
It must always be kept in mind that mild cases are just as _ as severe cases , and that a mild case may cause in another person a very severe attack .	cases	contagious	cases
and that his acknowledgments might be as _ as the obligation , no method of conveyance seemed more proper , than to prefix them to this new Edition of .	acknowledgments	public	obligation
The judge in that case was even as _ as his word , for while his brother .	judge	good	word
He proved it as _ as the sun in the sky , That their maxims of law could not here apply .	He	clear	sun
Oh , Pettigrew , that skull of yours is as _ as hell .	Pettigrew	deep	hell
Although the name is at least as _ as the middle of the seventeenth century , none of the buildings appear older than the middle of the eighteenth .	name	old	middle
No more from box to box the basket , piled With oranges as _ as the spheres , Shall with their luscious virtues charm the sense Of taste or smell .	more	radiant	spheres
westerly part of it , which I visited , and here the water was as _ as the sea .	water	salt	sea
The weather , however , was as _ as the country , for such researches , at this season of the year , and the horses I had taken out with me suffered a good deal , even in the short space of two days , during which I was engaged in this attempt .	weather	unfavourable	country
This seemed to be a favourite dish with him , and he was now as _ as a king , sleeping and eating alternately the whole night long .	he	happy	king
He believed that their affections were as _ as the Europeans .	affections	warm	Europeans
of these things the press was as _ as the grave .	press	silent	grave
The Aborigines are particularly fond of the bunya nuts , which are as _ as a full sized almond , including the shell , and , in good seasons , come from a distance of .	nuts	large	almond
They are as _ as European children so far as they have been tried , but they have not been put to abstract reasoning .	They	apt	children
re Gavrault , who smelt of dew and smoke and who was as _ as a stone or an apple .	who	clean	stone
Her hair was as _ as primroses and was ruffled up a little above the black ribbon that bound it .	hair	fair	primroses
She had been as _ as a spectre on that spectral day when he had first seen her .	She	silent	spectre
The long iron staircase down the face of the cliff was almost as _ as a fire .	staircase	steep	fire
It was the time when our great cathedrals rose and miracles were as _ as turtle .	miracles	plentiful	turtle
And her blow had been so sudden and unlooked for that the only answer that came was as _ as his blush , .	came	helpless	blush
Hamble was as _ as a lady on a unicorn .	Hamble	remote	lady
de Valenbois was as _ as Jerry himself .	Valenbois	decent	Jerry
If it was as _ as that , Andr .	it	bad	that
Would Aunt Madge be as _ as Chris , she wondered .	Madge	blind	Chris
I 'm as _ as blazes .	I	cold	blazes
Are you always as _ as this to everyone , Mr.	you	candid	this
Marie Celeste 's heart felt as _ as a stone as she sat there with Chris ' scrappy letter in her hand .	heart	cold	stone
Her heart felt as _ as a stone .	heart	hard	stone
Marie 's lip curled contemptuously , though her heart was racing and she was as _ as a ghost .	she	white	ghost
Chris was as _ as death .	Chris	white	death
Perhaps if I can make that as _ as new by six o'clock to .	I	good	new
rate workman was almost as _ as that of his former master .	workman	great	that
that its influence in improving and extending the use of machinery has been as _ as that produced by the improvement of the steam .	use	great	that
Sandy did take a peek out , and sprang back with a face which looked as _ as a sheet of paper under the rays of Tommy 's electric searchlight .	which	white	sheet
The stones were not as _ as mountains , sire , .	stones	big	mountains
the gnat was much like your stones that seemed as _ as mountains .	that	big	mountains
You are as _ as a pincushion , as you must yourself admit , and whenever I needed a pin I could call you to me .	You	fat	pincushion
Both our islands are as _ as conquered , this very minute .	islands	good	conquered
The royal armies , of which this is only a part , are as _ as the sands of the ocean , and live in many thousands of my underground caverns .	armies	numerous	sands
and in an instant they were as _ as bears and had pounced upon the deer .	they	big	bears
Vincent , had by this time fallen as _ as obsolete to his own mind .	Vincent	good	obsolete
Of the true sovereign souls of that Literature , the Goethes , Richters , Schillers , Lessings , he had as _ as no knowledge .	he	good	knowledge
many of the figures , which are nearly as _ as life , representing soldiers clad and armed much as I should suppose those of Cortez were .	many	large	life
As I have not said that Falmouth is as _ as Athens or Florence , perhaps the Committee will not adopt my statement .	Falmouth	eminent	Athens
His claim is quite as _ as thousands of similar claims .	claim	reasonable	thousands
It was not as _ as a sleigh with reindeer , but she had often longed to ride in it .	It	attractive	sleigh
s Common upon a dark night , and , lying among the bracken , I have seen as _ as seventy mules and a man at the head of each go flitting past me as silently as trout in a stream .	I	many	trout
I know that you are as _ as Lucifer , .	you	proud	Lucifer
But he is as _ as a May .	he	healthy	May
that you have lost some dear messmate , in battle or wreck , and that you have put him out of your mind in the routine of your daily life , until suddenly some word or some scene brings him back to your memory , and you find your sorrow as _ as upon the first day of your loss .	you	raw	day
My uncle held out his hands towards the blaze , and I noticed that they were as _ as the ruffles which fringed them .	they	white	ruffles
s been with me here since he was as _ as that hammer .	he	high	hammer
His vices were as _ as his virtues .	vices	open	virtues
Had he stopped there , with his unbeaten career behind him , then indeed the evening of his life might have been as _ as its dawn .	evening	glorious	dawn
alf an eye that he vas as _ as a cheesecake .	he	puffy	cheesecake
s , and that again for Whitehall with a swiftness which showed that the gallant mares were as _ as their master .	mares	impatient	master
t know that he was as _ as a line , I.	he	straight	line
He was as _ as a judge when he drove in here this morning , .	He	sober	judge
And so also , when the ring has become as _ as the lists , we may understand that a broader philosophy would show that all things , which spring up so naturally and spontaneously , have a function to fulfil , and that it is a less evil that two men should , of their own free will , fight until they can fight no more than that the standard of hardihood and endurance should run the slightest risk of being lowered in a nation which depends so largely upon the individual qualities of her citizens for her defence .	ring	extinct	lists
Sir Lothian Hume was smiling and nodding his head , whilst my uncle was coldly impassive , though I was sure that his heart was as _ as mine .	heart	heavy	mine
The next morning Hermia was as _ as usual , but she developed , soon after , a habit of dreaming over her books which much perplexed her sister .	Hermia	calm	usual
Her skin was as _ as of yore , and her eyes were dull .	skin	sallow	yore
She was as _ as a polar night , and as impassive as an Anglo .	She	cold	Anglo
The water was as _ as melting ice , and when she had dried her hair she no longer felt as if her brain were trying to force its way through the top of her skull .	water	cold	ice
it was as _ as Bessie .	it	familiar	Bessie
All this sentiment and romance and imagination of yours are very charming , and when I recall the occasions wherein you have kept me awake until two in the morning , I forgive you , because I found you quite as _ as a novel .	you	entertaining	novel
There were a great many photographs in that gallery , and their shapes and dimensions were as _ as their subjects .	shapes	diverse	subjects
Her eyes were as _ as the limpid floor of ocean .	eyes	green	floor
for your beauty , which appeals to the senses of men , yet which at the same time frightens them , because of the tragic element which is as _ as the passionate .	element	apparent	passionate
Her hair was as _ as a mole .	hair	sleek	mole
her skin was like ivory against which pomegranate pulp had been crushed , and her mouth was as _ as a cactus .	mouth	red	cactus
She talked in a low , full voice as _ as her beauty .	She	individual	beauty
Quintard looked as _ as a boy .	Quintard	pleased	boy
Cryder , in truth , was quite as _ as herself .	Cryder	tired	herself
The act was as _ as any minor act in life which is the direct result of the act which preceded it .	act	inevitable	act
I was just as _ as a bird .	I	happy	bird
She had only one resolve to sustain her , but that was at least as _ as her love , or as death .	that	strong	death
The family were as _ as ever , except Lucy , who looked pale and troubled , and at whom her father looked once or twice keenly , but without making any remark .	family	pleasant	ever
